ID	Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Phonetic Changes	Derivative	Suffix	Compound	Compound Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Source4	Sutta4	Example4	Pali chant 4	English chant 4	Chapter 4	Index	Stem	Pattern	Test	class	count	audio	DPD	Pāli-old	eng-old	move	sync	Feedback
24386	hiri	nn	1	fem		√hir					sense of shame; modesty; conscience; sense of right and wrong; scruples			√hir 3 ya (to be ashamed)		√hir + i		kita	i			hrī	√hrī		(DHPa) api c'ettha ajjhattasamuṭṭhānā <b>hirī</b>, bahiddhāsamuṭṭhānaṃ <b>ottappaṃ</b>.		AN 7.65	hirīottappasuttaṃ	<b>hiri</b>ottappe, bhikkhave, sati <b>hiri</b>ottappasampannassa upanisasampanno hoti indriyasaṃvaro				SNP 37	nālakasuttaṃ<br/>mahāvaggo 11	sutvā dhīrānaṃ nigghosaṃ,<br/>jhāyīnaṃ kāmacāginaṃ,<br/>tato<b> hiriñ</b>'ca saddhañ'ca,<br/>bhiyyo kubbetha māmako.																	hir	i fem	43	8	88	[sound:hiri.mp3]	√√	hiri	sense of shame; modesty; conscience; sense of right and wrong; scruples; (comm) due the internal		11	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=hiri&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
24432	hitesī	s	1	adj	comp						benevolent; who wishes one well; who wants the best for; lit. seeking benefit					hita + esī				dutiyā tappurisa	hit<b>aṃ</b> + esī	hitaiṣin			(SNa) <b>hitesinā</b>'ti hitaṃ esantena.																				MN 19	dvedhāvitakkasuttaṃ	yaṃ, bhikkhave, satthārā karaṇīyaṃ sāvakānaṃ <b>hit'esinā</b> anukampakena anukampaṃ upādāya, kataṃ vo taṃ mayā.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses	15n	hites	ī adj	43			[sound:hitesī.mp3]	√	hitesī	benevolent; who wishes one well; who wants the best for; lit. seeking benefit			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=hitesī&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
68902	viveka 1	ss	1	masc		viviccati					seclusion; solitude; detachment; disengagement; independence			√vic 1 a (to separate)		vi + √vic > vec > vek + *a	i > e<br/>c > k	kita	*a			viveka	√vic		(ANa) <b>viveko</b>'ti kāyacittaupadhiviveko.		DN 22.18	mahāsatipaṭṭhānasuttaṃ	bhikkhu vivicc'eva kāmehi vivicca akusalehi dhammehi, savitakkaṃ savicāraṃ <b>viveka</b>jaṃ pītisukhaṃ paṭhamaṃ jhānaṃ upasampajja viharati	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	TH 257	pārāpariyattheragāthā	araññe rukkhamūlesu, kandarāsu guhāsu ca.<br/><b>vivekam</b>'anubrūhantā, vihaṃsu tap'parāyanā	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses													13n	vivek	a masc	43	2	354	[sound:viveka.mp3]	√√	viveka 1	seclusion; solitude; detachment; disengagement			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=viveka 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
67326	vimutti	ss	1	fem		vimuñcati					freedom; liberation; release; deliverance			√muc 2 ṃa (to release, free)		vi + √muc + ti		kita	ti			vimukti	√muc				SN 56.11	dhammacakkappavattanasuttaṃ	ñāṇañ'ca pana me dassanaṃ udapādi, akuppā me <b>vimutti</b>, ayam'antimā jāti, n'atthidāni punabbhavo'ti.	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings	SN 46.3	sīlasuttaṃ	ye te, bhikkhave, bhikkhū sīlasampannā samādhisampannā ñāṇasampannā <b>vimutti</b>sampannā <b>vimutti</b>ñāṇadassanasampannā, 	Satta-sambojjhaṅgā	The Seven Factors of Awakening	Teachings													17n	vimutt	i fem	43	8	131	[sound:vimutti.mp3]	√√	vimutti	release; deliverance; freedom; liberation			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vimutti&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
67712	vipāka 1	pp	1	masc		vipaccati					(of actions) result; outcome; consequence; fruit; lit. ripening			√pac 1 a (to cook, mature, ripen)		vi + √pac > pāk + *a	a > ā<br/>c > k	kita	*a			vipāka	√pṛc				MN 20	vitakkasaṇṭhānasuttaṃ	bhikkhunā tesaṃ vitakkānaṃ ādīnavo upaparikkhitabbo, iti'pi'me vitakkā akusalā, iti'pi'me vitakkā sāvajjā, iti'pi'me vitakkā dukkha<b>vipākā</b>'ti.				AN 3.101	loṇakapallasuttaṃ	yo ca kho, bhikkhave, evaṃ vadeyya, yathā yathā vedanīyaṃ ayaṃ puriso kammaṃ karoti tathā tathāssa <b>vipākaṃ</b> paṭisaṃvediyatī'ti																	vipāk	a masc	43	2	388	[sound:vipāka.mp3]	√√	vipāka 1	result; consequence; lit. ripening			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vipāka 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
67795	vipassanā	p	1	fem	abstr	vipassati					insight; penetrating internal vision; introspection; lit. seeing distinctly			√dis 1 a (to see)	√dis + a > disa > passa (irreg)	vi + passa + anā		kita	anā			vipaśyanā	√dṛś		(ANa) <b>vipassanā</b>'ti saṅkhārapariggāhakañāṇaṃ.<br/>(DSa) anicc'ādivasena vividhena ākārena passatī'ti <b>vipassanā</b>		AN 4.147	dutiyakālasuttaṃ	kālena dhammassavanaṃ, kālena dhammasākacchā, kālena sammasanā, kālena <b>vipassanā</b>, ime kho, bhikkhave, cattāro kālā sammā bhāviyamānā sammā anuparivattiyamānā anupubbena āsavānaṃ khayaṃ pāpenti.																							vipassan	ā fem	43	7	59	[sound:vipassanā.mp3]	√√	vipassanā	insight; penetrating internal vision; introspection; lit. distinct seeing			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vipassanā&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
68569	vitakka 1	ps	1	masc		vitakketi					thought; reflection; pondering			√takk 8 *e (to think)		vi + √takk + a		kita	a			vitarka	√tark				MN 20	vitakkasaṇṭhānasuttaṃ	tesaṃ <b>vitakkānaṃ</b> <b>vitakka</b>saṅkhārasaṇṭhānaṃ manasikaroto ye pāpakā akusalā <b>vitakkā</b> chand'ūpasaṃhitā'pi dos'ūpasaṃhitā'pi moh'ūpasaṃhitā'pi te pahīyanti				DN 22.18	mahāsatipaṭṭhānasuttaṃ	<b>vitakka</b>vicārānaṃ vūpasamā ajjhattaṃ sampasādanaṃ cetaso ekodibhāvaṃ avitakkaṃ avicāraṃ samādhijaṃ pītisukhaṃ dutiyaṃ jhānaṃ upasampajja viharati.	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings													21n	vitakk	a masc	43	2	171	[sound:vitakka.mp3]	√√	vitakka 1	thought; reflection; pondering			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vitakka 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
66805	vijjā 1	ss	1	fem		√vid					knowledge; wisdom; understanding			√vid 3 ya (to know, understand)		√vid + yā	dy > jj	kita	yā			vidyā	√vid				SNP 22	uṭṭhānasuttaṃ<br/>cūḷavaggo 1	pamādo rajo pamādo, pamād'ānupatito rajo, <br/>appamādena <b>vijjāya</b>, abbahe sallam'attano'ti.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses	SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho <b>vijjā</b>caraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem													02n	vijj	ā fem	43	7	338	[sound:vijjā.mp3]	√√	vijjā 1	knowledge; wisdom; understanding			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vijjā 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
56654	soracca	pn	1	nt	abstr	sorata					kindness; gentleness; compassion; (comm) good conduct; lit. gentle state			√ram 1 a (to delight, please)		su > so + √ram + ta + *ya<br/>surata + *ya	u > o<br/>mt > t<br/>ty > cc	taddhita	*ya			sūrata	√ram		(ANa) <b>soraccan</b>'ti sucisīlaṃ		TH 247	udāyittheragāthā	nāgaṃ vo kittayissāmi,<br/>na hi āguṃ karoti so,<br/><b>soraccaṃ</b> avihiṃsā ca,<br/>pādā nāgassa te duve.				AN 4.61	pattakammasuttaṃ	samaṇabrāhmaṇā madappamādā paṭiviratā khanti<b>soracce</b> niviṭṭhā ekam'attānaṃ damenti, ekam'attānaṃ samenti, ekam'attānaṃ parinibbāpenti, 																	soracc	a nt	43		10	[sound:soracca.mp3]	√√	soracca	kindness; gentleness; (comm) good conduct; lit. gentle state		11	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=soracca&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
56693	sotāpanna 1	p	1	adj	comp						who has entered the stream; entered the first stage of the path					sota + āpanna				dutiyā tappurisa	sot<b>aṃ</b> + āpanna	srotaāpanna					SN 12.41	pañcaverabhayasuttaṃ	so ākaṅkhamāno attanā'va attānaṃ byākareyya  khīṇanirayo'mhi khīṇatiracchānayoni khīṇapettivisayo khīṇ'āpāyaduggativinipāto <b>sot'āpanno</b>'ham'asmi avinipātadhammo niyato sambodhiparāyaṇo'ti																							sotāpann	a adj	43			[sound:sotāpanna.mp3]	√√	sotāpanna 1	who has entered the stream; entered the first stage of the path			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=sotāpanna 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
56707	sotāpatti	pn	1	fem	comp						stream entry; first stage of the path					sota + āpatti				dutiyā tappurisa	sot<b>aṃ</b> + āpatti	srotaāpatti					DHP 178	lokavaggo	pathabyā ekarajjena, saggassa gamanena vā, <br/>sabbalok'ādhipaccena, <b>sot'āpatti</b>phalaṃ varaṃ.																SN 25.1	cakkhusuttaṃ	abhabbo'va tāva kālaṃ kātuṃ yāva na <b>sot'āpatti</b>phalaṃ sacchikaroti.					sotāpatt	i fem	43			[sound:sotāpatti.mp3]	√	sotāpatti	stream entry; first stage of enlightenment			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=sotāpatti&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
55500	sekhiya 1	p	1	adj	ptp	sikkhati					related to training; to be practised; lit. to be trained			√sikkh 1 a (to learn, train)		√sikkh > sekh + *iya	i > e	kicca	*iya			śaikṣa	√śikṣ				VIN PAT SK	sekhiyā	ime kho pan'āyasmanto <b>sekhiyā</b> dhammā uddesaṃ āgacchanti.																							sekhiy	a adj	43			[sound:sekhiya.mp3]	√√	sekhiya 1	related to training; to be practised		11	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=sekhiya 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
58008	sutta 2.1	ps	1	nt		√siv					scripture; discourse; sacred text; lit. thread			√siv 3 ya (to sew)		√siv > suv + ta	i > u<br/>v > t	kita	ta			sūtra	√siv √sīv		(MNa) ubhatovibhaṅganiddesakhandhakaparivārā, suttanipāte maṅgalasuttaratanasuttanālakasuttatuvaṭṭakasuttāni, aññam'pi ca suttanāmakaṃ tathāgatavacanaṃ <b>suttan</b>'ti veditabbaṃ.	"other possible derivations that have been suggested are <br/>√su 4 ṇā (hear) + ta<br/>su + √vac > vak > uk + ta ""well said"""	MN 22	alagaddūpamasuttaṃ	idha ekacce moghapurisā dhammaṃ pariyāpuṇanti—<b>suttaṃ</b>, geyyaṃ, veyyākaraṇaṃ, gāthaṃ, udānaṃ, itivuttakaṃ, jātakaṃ, abbhutadhammaṃ, vedallaṃ.				AN 4.180	mahāpadesasuttaṃ	anabhinanditvā appaṭikkositvā tāni padabyañjanāni sādhukaṃ uggahetvā <b>sutte</b> otāretabbāni, vinaye sandassetabbāni.	Cattāro mahāpadesā	The Four Great References	Teachings													25n	sutt	a nt	43	9	252	[sound:sutta.mp3]	√√	sutta 4	scripture; discourse; sacred text; lit. thread			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=sutta 2.1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
57560	suñña 2	ps	1	adj							empty; uninhabited											śūnya, śūna					SN 35.238	āsīvisopamasuttaṃ	so passeyya <b>suññaṃ</b> gāmaṃ. yaññad'eva gharaṃ paviseyya rittakaññ'eva paviseyya tucchakaññ'eva paviseyya suññakaññ'eva paviseyya.																AN 10.48	pabbajitābhiṇhasuttaṃ	kacci nu kho'haṃ <b>suññ</b>'āgāre abhiramāmī'ti, pabbajitena abhiṇhaṃ paccavekkhitabbaṃ.	Dasadhammā pabbajita-abhiṇha-paccavekkhaṇā	Ten Subjects for Frequent Recollection by One Who Has Gone Forth	Reflections	34n	suññ	a adj	43	11	129	[sound:suñña.mp3]	√	suñña 2	empty; uninhabited			"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=suñña 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
